MVNO,MVNAME,MVPARTY,MVCITY,MV_ILK_KANUN,MV_KANUN,MV_ILK_MAO,MV_MAO,MV_ILK_GGO,MV_GGO,MV_ILK_GO,MV_GO,MV_SSO,MV_YSO
6957,Murat BOZLAK,BDP,ADANA,2,2,1,274,0,0,0,0,0,16
6026,Ömer ÇELİK,AK Parti,ADANA,0,1,0,0,0,0,0,0,0,0
5540,Mehmet Necati ÇETİNKAYA,AK Parti,ADANA,0,3,0,1,0,0,0,0,0,0
6758,Ali DEMİRÇALI,CHP,ADANA,9,22,2,215,0,0,0,5,2,39
6859,Turgay DEVELİ,CHP,ADANA,1,9,3,70,0,0,0,3,0,12
6852,Mehmet Şükrü ERDİNÇ,AK Parti,ADANA,1,12,0,4,0,0,0,0,0,0
6585,Fatoş GÜRKAN,AK Parti,ADANA,1,8,1,6,0,0,0,0,0,0
5857,Ali HALAMAN,MHP,ADANA,14,32,24,180,0,1,0,1,291,311
6349,Ali KÜÇÜKAYDIN,AK Parti,ADANA,0,3,0,3,0,0,0,0,0,0
6782,Osman Faruk LOĞOĞLU,CHP,ADANA,0,13,3,16,1,1,0,1,1,25
6931,Ümit ÖZGÜMÜŞ,CHP,ADANA,1,11,4,87,0,0,0,3,0,25
6508,Necdet ÜNÜVAR,AK Parti,ADANA,0,2,1,4,0,0,0,0,0,0
6439,Muharrem VARLI,MHP,ADANA,2,10,6,172,0,0,0,0,4,35
6905,Seyfettin YILMAZ,MHP,ADANA,5,17,5,255,1,1,1,2,0,99
6608,Ahmet AYDIN,AK Parti,ADIYAMAN,7,8,0,3,0,1,0,0,0,0
6565,Mehmet ERDOĞAN,AK Parti,ADIYAMAN,0,5,0,5,0,0,0,0,0,0
6760,Salih FIRAT,AK Parti,ADIYAMAN,1,19,2,217,0,1,0,3,0,33
6660,Mehmet METİNER,AK Parti,ADIYAMAN,0,3,0,2,0,0,0,0,0,0
6793,Muhammed Murtaza YETİŞ,AK Parti,ADIYAMAN,0,3,0,9,0,0,0,0,0,0
5336,Sait AÇBA,AK Parti,AFYONKARAHİSAR,0,1,1,1,0,0,0,0,0,0
6545,Veysel EROĞLU,AK Parti,AFYONKARAHİSAR,0,1,0,0,0,0,0,0,0,0
6712,Ahmet TOPTAŞ,CHP,AFYONKARAHİSAR,13,27,1,112,0,1,0,4,0,44
6898,Halil ÜRÜN,AK Parti,AFYONKARAHİSAR,0,3,0,2,0,0,0,0,0,0
