MVNO,MVNAME,MVPARTY,MVCITY,MV_ILK_KANUN,MV_KANUN,MV_ILK_MAO,MV_MAO,MV_ILK_GGO,MV_GGO,MV_ILK_GO,MV_GO,MV_SSO,MV_YSO
6957,Murat BOZLAK,BDP,ADANA,2,2,1,177,0,0,0,0,0,12
6026,Ömer ÇELİK,AK Parti,ADANA,0,1,0,0,0,0,0,0,0,0
5540,Mehmet Necati ÇETİNKAYA,AK Parti,ADANA,0,2,0,0,0,0,0,0,0,0
6758,Ali DEMİRÇALI,CHP,ADANA,5,16,1,149,0,0,0,3,2,34
6859,Turgay DEVELİ,CHP,ADANA,1,9,1,51,0,0,0,2,0,3
6852,Mehmet Şükrü ERDİNÇ,AK Parti,ADANA,1,7,0,2,0,0,0,0,0,0
6585,Fatoş GÜRKAN,AK Parti,ADANA,1,4,1,5,0,0,0,0,0,0
5857,Ali HALAMAN,MHP,ADANA,9,18,20,147,0,1,0,1,227,308
6349,Ali KÜÇÜKAYDIN,AK Parti,ADANA,0,2,0,3,0,0,0,0,0,0
6782,Osman Faruk LOĞOĞLU,CHP,ADANA,0,13,2,13,1,1,0,1,0,18
6931,Ümit ÖZGÜMÜŞ,CHP,ADANA,1,10,3,51,0,0,0,3,0,19
6508,Necdet ÜNÜVAR,AK Parti,ADANA,0,2,1,2,0,0,0,0,0,0
6439,Muharrem VARLI,MHP,ADANA,2,7,6,137,0,0,0,0,4,34
6905,Seyfettin YILMAZ,MHP,ADANA,4,12,3,212,1,1,1,2,0,64
6608,Ahmet AYDIN,AK Parti,ADIYAMAN,5,6,0,1,0,1,0,0,0,0
6565,Mehmet ERDOĞAN,AK Parti,ADIYAMAN,0,2,0,1,0,0,0,0,0,0
6760,Salih FIRAT,CHP,ADIYAMAN,0,16,2,201,0,1,0,3,0,31
6660,Mehmet METİNER,AK Parti,ADIYAMAN,0,2,0,0,0,0,0,0,0,0
6793,Muhammed Murtaza YETİŞ,AK Parti,ADIYAMAN,0,3,0,5,0,0,0,0,0,0
5336,Sait AÇBA,AK Parti,AFYONKARAHİSAR,0,0,1,1,0,0,0,0,0,0
6545,Veysel EROĞLU,AK Parti,AFYONKARAHİSAR,0,1,0,0,0,0,0,0,0,0
6712,Ahmet TOPTAŞ,CHP,AFYONKARAHİSAR,12,24,0,61,0,0,0,3,0,35
6898,Halil ÜRÜN,AK Parti,AFYONKARAHİSAR,0,2,0,1,0,0,0,0,0,0
6828,Kemalettin YILMAZ,MHP,AFYONKARAHİSAR,1,4,4,192,0,1,0,1,0,31
6954,Halil AKSOY,BDP,AĞRI,6,6,7,176,0,0,0,0,4,65
6665,Ekrem ÇELEBİ,AK Parti,AĞRI,1,7,0,3,0,0,0,0,0,0
6575,Fatma SALMAN,AK Parti,AĞRI,0,2,0,8,0,0,0,0,0,0
6090,Mehmet Kerim YILDIZ,AK Parti,AĞRI,0,1,0,2,0,0,0,0,0,0
5981,Ruhi AÇIKGÖZ,AK Parti,AKSARAY,0,2,0,1,0,0,0,0,0,0
5988,Ali Rıza ALABOYUN,AK Parti,AKSARAY,0,1,0,12,0,0,0,0,0,0
6566,İlknur İNCEÖZ,AK Parti,AKSARAY,0,3,0,3,0,0,0,0,0,0
6667,Mehmet Naci BOSTANCI,AK Parti,AMASYA,0,2,0,2,0,0,0,0,0,0
6386,Avni ERDEMİR,AK Parti,AMASYA,2,4,0,11,0,0,0,0,0,0
6880,Ramis TOPAL,CHP,AMASYA,0,13,0,76,0,1,0,2,2,23
6689,Yalçın AKDOĞAN,AK Parti,ANKARA,0,1,0,0,0,1,0,0,0,0
6814,Süleyman Sencer AYATA,CHP,ANKARA,0,1,0,3,0,0,0,2,0,0
6720,Sinan Aydın AYGÜN,CHP,ANKARA,9,15,1,69,0,0,0,1,0,44
6063,Ali BABACAN,AK Parti,ANKARA,0,0,0,0,0,0,0,0,0,0
5948,Ayşe Gülsün BİLGEHAN,CHP,ANKARA,0,16,0,17,0,0,0,1,0,25
6148,İzzet ÇETİN,CHP,ANKARA,6,18,3,52,0,0,0,2,0,58
4445,Cemil ÇİÇEK,AK Parti,ANKARA,1,1,0,0,0,0,0,0,0,0
6095,Reha DENEMEÇ,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6702,Mustafa ERDEM,MHP,ANKARA,0,3,0,43,0,1,0,2,2,21
6302,Cevdet ERDÖL,AK Parti,ANKARA,4,7,2,2,0,0,0,0,0,0
6199,Bülent GEDİKLİ,AK Parti,ANKARA,0,2,0,0,0,0,0,0,0,0
6692,Levent GÖK,CHP,ANKARA,3,18,5,55,0,0,1,3,0,215
6721,Gökhan GÜNAYDIN,CHP,ANKARA,0,0,0,10,0,0,0,1,0,19
6703,Ülker GÜZEL,AK Parti,ANKARA,0,3,0,0,0,0,0,0,0,0
5644,Mehmet Emrehan HALICI,CHP,ANKARA,0,1,0,5,0,0,0,1,0,3
5930,Haluk İPEK,AK Parti,ANKARA,0,1,0,0,0,0,0,0,0,0
6704,Emrullah İŞLER,AK Parti,ANKARA,0,5,0,8,0,0,0,0,0,0
5347,Ahmet İYİMAYA,AK Parti,ANKARA,0,2,0,0,0,0,0,0,0,0
4634,Salih KAPUSUZ,AK Parti,ANKARA,3,5,0,1,0,0,0,0,0,0
6801,Zelkif KAZDAL,AK Parti,ANKARA,0,2,0,0,0,0,0,0,0,0
6717,Bülent KUŞOĞLU,CHP,ANKARA,1,10,1,34,0,1,0,3,0,27
6690,Aylin NAZLIAKA,CHP,ANKARA,13,33,9,177,0,0,0,1,9,161
6525,Nazmi Haluk ÖZDALGA,AK Parti,ANKARA,0,2,0,0,0,0,0,0,0,0
6701,Tülay SELAMOĞLU,AK Parti,ANKARA,0,2,1,16,0,0,0,0,0,0
6697,Seyit SERTÇELİK,AK Parti,ANKARA,0,2,0,1,0,0,0,0,0,0
6810,Fatih ŞAHİN,AK Parti,ANKARA,0,3,0,2,0,0,0,0,0,0
